,0,1
0,0,"0.035*""marketing"" + 0.023*""study"" + 0.022*""products"" + 0.021*""regulatory"" + 0.012*""evidence"" + 0.011*""system"" + 0.011*""novel"" + 0.008*""multiple"" + 0.008*""models"" + 0.007*""associated"""
1,1,"0.055*""clinical"" + 0.026*""drugs"" + 0.019*""studies"" + 0.013*""patient"" + 0.012*""high"" + 0.012*""products"" + 0.011*""us"" + 0.010*""therapeutic"" + 0.009*""rights"" + 0.008*""one"""
2,2,"0.085*""cell"" + 0.080*""patients"" + 0.016*""also"" + 0.014*""well"" + 0.014*""regenerative"" + 0.012*""however"" + 0.010*""need"" + 0.009*""scientific"" + 0.009*""field"" + 0.009*""review"""
3,3,"0.031*""safety"" + 0.025*""therapies"" + 0.025*""treatment"" + 0.022*""trials"" + 0.018*""abstract"" + 0.015*""cells"" + 0.014*""product"" + 0.012*""related"" + 0.010*""health"" + 0.009*""number"""
4,4,"0.021*""human"" + 0.018*""efficacy"" + 0.016*""current"" + 0.014*""blood"" + 0.013*""science"" + 0.011*""effective"" + 0.009*""agents"" + 0.008*""therapy"" + 0.008*""clinics"" + 0.007*""cord"""
5,5,"0.034*""available"" + 0.021*""medicine"" + 0.017*""cells"" + 0.012*""transplantation"" + 0.012*""future"" + 0.011*""approval"" + 0.011*""phase"" + 0.011*""first"" + 0.010*""analysis"" + 0.009*""derived"""
6,6,"0.085*""stem"" + 0.023*""cell"" + 0.017*""therapies"" + 0.010*""important"" + 0.009*""several"" + 0.009*""time"" + 0.009*""provide"" + 0.008*""european"" + 0.007*""companies"" + 0.007*""clinical"""
7,7,"0.038*""based"" + 0.027*""new"" + 0.024*""research"" + 0.024*""cells"" + 0.016*""potential"" + 0.013*""tissue"" + 0.012*""used"" + 0.010*""review"" + 0.010*""clinical"" + 0.010*""years"""
8,8,"0.039*""drug"" + 0.034*""development"" + 0.019*""results"" + 0.018*""data"" + 0.018*""may"" + 0.017*""market"" + 0.013*""ltd"" + 0.012*""marketing"" + 0.011*""using"" + 0.008*""diseases"""
9,9,"0.035*""therapy"" + 0.022*""cell"" + 0.020*""disease"" + 0.019*""gene"" + 0.018*""medical"" + 0.015*""cancer"" + 0.014*""treatments"" + 0.012*""including"" + 0.012*""effects"" + 0.011*""currently"""
